Наименование;Курс;Изменение;Время
Индекс ММВБ;2 690,59;0,00%;01:59:59
Индекс PTC;1 066,60;-1,15%;18:50:00
DOW.J;26 604,60;0,39%;00:00:41
NAS100;11 099,60;0,42%;00:00:41
S&P 500;3 287,31;0,53%;00:00:41
NIKKEI;23 229,20;1,10%;00:00:41
DAX;11 626,30;0,60%;00:00:41
ESTX50;2 977,46;0,65%;00:00:41
EUR/RUB;92,4155;-0,06%;15:29:07
USD/RUB;79,3675;-0,01%;15:29:07
CHF/RUB;86,4899;-0,03%;15:29:07
GBP/RUB;10,27730;-0,02%;15:29:07
BTC/USD;13 836,72;0,21%;18:40:58
BCC/USD;26,87095;2,53%;18:40:58
ETH/USD;38,973;0,78%;18:40:58
Золото;1 877,75;-0,06%;00:00:41
Серебро;23,57;-4,73%;00:00:41
Медь;6 719,31;0,37%;22:59:31
Нефть;37,88;1,15%;23:58:30
